time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0805857069583,0.137689826099,11.7720234811,0.0535535177954,0.0434371266453,0.0,-0.264818108564,0.373809771119,2.57257171339,0.0374233385004,-0.0130718617985,0.0,483.3546119180991,483.0150993754874,483.5846243682067,483.44737376887804
1.3800000000000008,-0.0973484402379,0.161202794509,11.928837156,0.0557321440301,0.0424166561821,0.0,-0.293844714131,0.410162677437,2.6543471229,0.0339867476269,-0.0263480390649,0.0,438.734577342688,437.6309783365537,438.1990132084913,437.91386232226114
1.4400000000000008,-0.115903521242,0.187037563731,12.0923026749,0.0575904764125,0.0409028561692,0.0,-0.324478680659,0.451185565099,2.79415658039,0.024135588849,-0.0230830421178,0.0,456.19682467700784,456.4573612969196,457.4087297970085,456.6238426472305
1.5000000000000009,-0.136174977729,0.215243592017,12.2619427574,0.0593461070544,0.0399252369071,0.0,-0.351119648752,0.489158983885,2.86033526411,0.0379244093091,-0.00533928337415,0.0,433.6884957487223,435.1763434879549,433.62373621423217,434.7808033421403
1.560000000000001,-0.158087637707,0.245851457702,12.4370061611,0.0613345041529,0.03924299018,0.0,-0.379244645041,0.531305756799,2.97479637063,0.0212586350316,-0.0275411756511,0.0,450.8940978118138,449.0969516091361,450.6247178351892,449.27589842595967
1.620000000000001,-0.181664559531,0.279018966046,12.6188313276,0.062467970812,0.0373720402751,0.0,-0.406462358555,0.574380124719,3.08573711849,0.0136774856206,-0.0396944785404,0.0,450.66229559961533,449.6785151369794,449.2038712981011,448.5886217632678
1.680000000000001,-0.206801193389,0.314737922903,12.8064470907,0.0633746869142,0.0351626968163,0.0,-0.431192295812,0.616318197535,3.16789009377,0.0178365683331,-0.0316224712572,0.0,440.75794004034884,441.4239149455899,441.0171477337908,441.3604493220549
1.740000000000001,-0.233385412868,0.353001978976,12.9991621378,0.064216980143,0.0333537817695,0.0,-0.454757000233,0.659225703244,3.25568768667,0.00508721476029,-0.0273532008482,0.0,443.2535157659052,443.6039393228324,443.94600319530133,442.89852627477944
1.8000000000000012,-0.261445947713,0.394043015236,13.2000873113,0.0641173108013,0.0312518133695,0.0,-0.480373735435,0.708784880627,3.44126914474,-0.0207005404135,-0.058440647012,0.0,474.95539838674904,472.56442565377637,474.8005141756624,472.8179328226313
1.8600000000000012,-0.291007720652,0.438089379258,13.4128104726,0.0626511505517,0.0279953908525,0.0,-0.504605297171,0.759219904912,3.64887441264,-0.0332099507091,-0.0470281612009,0.0,480.9352023267903,481.7970985131897,481.7550703444998,480.8081879293923
1.9200000000000013,-0.321950653217,0.485125688805,13.6380551005,0.0606440039026,0.0251070514446,0.0,-0.526473254794,0.808368486334,3.85860958653,-0.0339417974865,-0.0504579200082,0.0,483.3628518401121,483.1030880366981,483.1829439102969,483.1274191839624
1.9800000000000013,-0.354067377131,0.534890323905,13.8730659096,0.0583810525849,0.022472552705,0.0,-0.543785513656,0.850195763951,3.9747033594,-0.0465963938145,-0.0332734559973,0.0,456.280041714863,457.6488734678921,456.8650350492887,455.8542016207328
2.0400000000000014,-0.387123156279,0.586985878926,14.1128671361,0.0559453808658,0.0204209592344,0.0,-0.557884519656,0.886059899853,4.01853553091,-0.0306996203131,-0.0360988859809,0.0,435.09811162449364,434.8609689689124,433.8960326358281,435.2277101340743
2.1000000000000014,-0.421071475254,0.641426313158,14.3595616033,0.0549217784083,0.0179842368066,0.0,-0.573455087766,0.928419720487,4.20395597981,0.00155028002461,-0.0516511683074,0.0,479.11066497065667,477.925898363924,477.1941454811683,479.64977410654
2.1600000000000015,-0.455855735077,0.698265154158,14.6151201733,0.0549019944351,0.0155682985592,0.0,-0.585738316402,0.966180839769,4.31425097631,-0.00438351650487,-0.0239119868443,0.0,456.08832587672316,458.2976455610576,457.7174837206796,457.244975656661
2.2200000000000015,-0.491297167442,0.757239867307,14.8749872593,0.0551626240946,0.0141405800568,0.0,-0.595511907315,0.999630094854,4.34785422012,0.0177257981201,-0.023562994378,0.0,433.4781091986455,433.5073590403003,433.80947800308854,435.6621927178564
2.2800000000000016,-0.527303733485,0.818245392917,15.1371732844,0.0558577630499,0.0131704804208,0.0,-0.604598531311,1.03395560238,4.39150073013,-0.00499763194475,-0.00443027202226,0.0,437.4922868352319,439.08265022363724,437.9267854872617,436.0322697149391
